Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature,Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2014,01,01,26.9,1,Y
IDCJAC0010,070351,2014,01,02,27.4,1,Y
IDCJAC0010,070351,2014,01,03,35.5,1,Y
IDCJAC0010,070351,2014,01,04,26.8,1,Y
IDCJAC0010,070351,2014,01,05,29.0,1,Y
IDCJAC0010,070351,2014,01,06,25.0,1,Y
IDCJAC0010,070351,2014,01,07,26.3,1,Y
IDCJAC0010,070351,2014,01,08,24.7,1,Y
IDCJAC0010,070351,2014,01,09,24.5,1,Y
IDCJAC0010,070351,2014,01,10,29.5,1,Y
IDCJAC0010,070351,2014,01,11,32.6,1,Y
IDCJAC0010,070351,2014,01,12,37.1,1,Y
IDCJAC0010,070351,2014,01,13,33.5,1,Y
IDCJAC0010,070351,2014,01,14,37.6,1,Y
IDCJAC0010,070351,2014,01,15,40.2,1,Y
IDCJAC0010,070351,2014,01,16,40.1,1,Y
IDCJAC0010,070351,2014,01,17,39.7,1,Y
IDCJAC0010,070351,2014,01,18,40.0,1,Y
IDCJAC0010,070351,2014,01,19,32.3,1,Y
IDCJAC0010,070351,2014,01,20,26.3,1,Y
IDCJAC0010,070351,2014,01,21,31.1,1,Y
IDCJAC0010,070351,2014,01,22,26.1,1,Y
IDCJAC0010,070351,2014,01,23,28.8,1,Y
IDCJAC0010,070351,2014,01,24,25.6,1,Y
IDCJAC0010,070351,2014,01,25,26.5,1,Y
IDCJAC0010,070351,2014,01,26,26.3,1,Y
IDCJAC0010,070351,2014,01,27,31.4,1,Y
IDCJAC0010,070351,2014,01,28,33.9,1,Y
IDCJAC0010,070351,2014,01,29,38.5,1,Y
IDCJAC0010,070351,2014,01,30,37.6,1,Y
IDCJAC0010,070351,2014,01,31,38.6,1,Y
IDCJAC0010,070351,2014,02,01,38.8,1,Y
IDCJAC0010,070351,2014,02,02,39.3,1,Y
IDCJAC0010,070351,2014,02,03,39.3,1,Y
IDCJAC0010,070351,2014,02,04,22.2,1,Y
IDCJAC0010,070351,2014,02,05,21.6,1,Y
